"source_file","format","dimensions","file_size_bytes","transparency","pages_used","display_dimensions","fold_context","decorative_or_meaningful","loading","candidate_output_formats","responsive_variants_required","referenced"
"assets/shared/backgrounds/client-preview-treatments-source.png","png","1600x12684","20592800","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600","false"
"assets/photos/consulta-personalizada-momento-de-cuidado-saude-da-pele-franciele-sofiati-biomedica-esteta-gleba-palhano.jpeg","jpeg","4000x6000","3591685","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/vasinhos-faciais-atendimento-calmo-contorno-facial-franciele-sofiati-biomedica-esteta-gleba-palhano.jpeg","jpeg","4000x6000","3553889","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/consulta-personalizada-acabamento-premium-beleza-equilibrada-franciele-sofiati-biomedica-esteta-londrina-centro.jpeg","jpeg","4000x6000","3495540","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/rejuvenescimento-facial-detalhe-editorial-biomedica-esteta-franciele-sofiati-biomedica-esteta-gleba-palhano.jpeg","jpeg","4000x6000","3400705","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/rejuvenescimento-facial-material-estetico-elegancia-sofiati-franciele-sofiati-biomedica-esteta-londrina-centro.jpeg","jpeg","4000x6000","3089638","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/vasinhos-faciais-composicao-minimal-contorno-facial-franciele-sofiati-biomedica-esteta-gleba-palhano.jpeg","jpeg","4000x6000","3076189","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/bioestimulador-colageno-sala-clinica-consulta-presencial-franciele-sofiati-biomedica-esteta-gleba-palhano.jpeg","jpeg","4000x6000","3069640","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/consulta-personalizada-gesto-delicado-tecnologia-segura-franciele-sofiati-biomedica-esteta-gleba-palhano.jpeg","jpeg","4000x6000","2981469","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/vasinhos-faciais-gesto-delicado-contorno-facial-franciele-sofiati-biomedica-esteta-gleba-palhano.jpeg","jpeg","4000x6000","2978772","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
